id,name,age,score
260,Neha,55,3
261,Neha,29,97
262,Neha,36,14
263,Suresh,48,24
264,Suresh,47,50
265,Pooja,44,22
266,Suresh,26,2
267,Amit,24,86
268,Rahul,41,14
269,Suresh,32,56
270,Neha,29,89
271,Rahul,23,29
272,Pooja,38,8
273,Neha,44,8
274,Pooja,36,7
275,Neha,34,26
276,Suresh,52,72
277,Rahul,30,86
278,Rahul,47,100
279,Pooja,42,41
280,Pooja,52,57
281,Suresh,26,96
282,Rahul,39,33
283,Neha,46,43
284,Suresh,18,62
285,Pooja,53,54
286,Pooja,41,11
287,Rahul,54,6
288,Neha,41,27
289,Neha,28,20
290,Amit,39,78
291,Suresh,37,95
292,Suresh,21,45
293,Suresh,25,63
294,Amit,35,48
295,Neha,40,73
296,Neha,47,36
297,Amit,30,81
298,Pooja,40,34
299,Rahul,20,33
300,Neha,52,28
301,Suresh,49,86
302,Neha,24,38
303,Pooja,21,30
304,Rahul,41,35
305,Rahul,42,68
306,Pooja,27,96
307,Rahul,41,9
308,Rahul,47,22
309,Rahul,42,54
310,Neha,44,52
311,Rahul,29,62
312,Neha,57,42
313,Rahul,39,59
314,Rahul,30,94
315,Suresh,34,42
316,Pooja,24,77
317,Amit,44,64
318,Suresh,51,21
319,Amit,24,25
320,Amit,39,58
321,Neha,20,25
322,Suresh,42,97
323,Pooja,35,73
324,Suresh,28,65
325,Neha,22,78
326,Suresh,54,97
327,Rahul,51,50
328,Amit,48,68
329,Pooja,52,9
330,Suresh,29,15
331,Suresh,46,34
332,Rahul,35,16
333,Suresh,25,17
334,Rahul,49,89
335,Amit,46,22
336,Amit,24,16
337,Rahul,28,49
338,Neha,45,29
339,Suresh,55,69
340,Amit,26,45
341,Suresh,44,51
342,Neha,31,72
343,Suresh,44,1
344,Amit,19,38
345,Amit,43,0
346,Rahul,18,21
347,Rahul,38,4
348,Suresh,42,53
349,Neha,52,8
350,Pooja,19,90
351,Suresh,31,25
352,Rahul,27,100
353,Amit,49,41
354,Pooja,36,55
355,Pooja,46,11
356,Rahul,38,24
357,Pooja,41,57
358,Amit,21,18
359,Rahul,23,8
360,Amit,32,19
361,Suresh,21,45
362,Suresh,19,15
363,Amit,55,88
364,Pooja,42,35
365,Suresh,30,50
366,Suresh,22,7
367,Suresh,22,78
368,Suresh,19,14
369,Suresh,23,78
370,Amit,19,17
371,Suresh,55,43
372,Pooja,30,66
373,Amit,28,15
374,Neha,27,23
375,Rahul,52,93
376,Neha,24,17
377,Neha,25,20
378,Neha,54,79
379,Rahul,24,56
380,Neha,38,63
381,Suresh,22,72
382,Rahul,30,52
383,Neha,54,49
384,Amit,24,73
385,Amit,26,70
386,Amit,29,6
387,Neha,25,16
388,Neha,36,40
389,Pooja,50,21
390,Amit,36,42
391,Pooja,38,0
392,Neha,55,51
393,Neha,30,97
394,Rahul,25,23
395,Rahul,50,12
396,Suresh,23,97
397,Amit,32,20
398,Neha,38,13
399,Neha,20,73
400,Neha,57,28
401,Pooja,54,58
402,Rahul,55,82
403,Neha,18,65
404,Neha,23,3
405,Suresh,54,72
406,Amit,27,5
407,Pooja,36,79
408,Neha,52,6
409,Rahul,41,39
410,Amit,36,34
411,Pooja,34,52
412,Pooja,56,48
413,Suresh,41,100
414,Amit,21,27
415,Pooja,34,37
416,Rahul,39,99
417,Amit,25,80
418,Rahul,42,64
419,Pooja,27,82
420,Pooja,28,89
421,Amit,23,72
422,Amit,39,33
423,Neha,27,4
424,Rahul,25,13
425,Neha,18,18
426,Pooja,47,84
427,Pooja,28,2
428,Suresh,36,32
429,Rahul,57,41
430,Rahul,55,18
431,Neha,56,5
432,Pooja,22,29
433,Neha,56,63
434,Suresh,27,39
435,Neha,23,26
436,Amit,39,49
437,Amit,40,80
438,Amit,27,67
439,Suresh,29,87
440,Suresh,20,75
441,Neha,19,0
442,Neha,27,73
443,Amit,26,13
444,Amit,53,93
445,Neha,43,74
446,Neha,45,89
447,Pooja,27,35
448,Neha,51,2
449,Rahul,37,92
450,Neha,56,49
451,Pooja,57,40
452,Rahul,44,33
453,Suresh,22,65
454,Amit,23,76
455,Pooja,25,32
456,Suresh,46,29
457,Rahul,38,78
458,Neha,53,45
459,Rahul,32,53
460,Rahul,45,41
461,Suresh,32,55
462,Amit,48,73
463,Amit,42,23
464,Suresh,38,60
465,Neha,22,73
466,Neha,30,68
467,Amit,48,31
468,Amit,26,49
469,Suresh,38,36
470,Neha,56,54
471,Pooja,27,52
472,Amit,32,79
473,Suresh,39,74
474,Pooja,43,8
475,Amit,52,53
476,Pooja,40,57
477,Rahul,46,32
478,Neha,22,36
479,Amit,37,62
480,Neha,29,29
481,Neha,21,9
482,Pooja,49,7
483,Pooja,35,82
484,Neha,26,77
485,Pooja,27,91
486,Amit,36,15
487,Amit,36,60
488,Rahul,25,54
489,Neha,25,24
490,Rahul,47,91
491,Neha,42,34
492,Neha,27,77
493,Amit,46,19
494,Suresh,18,37
495,Amit,20,50
496,Rahul,29,95
497,Amit,57,8
498,Neha,51,43
499,Amit,19,26
500,Amit,51,4
501,Suresh,20,44
502,Neha,54,29
503,Amit,34,53
504,Pooja,24,61
505,Suresh,39,96
506,Suresh,33,93
507,Amit,50,93
508,Amit,21,36
509,Amit,29,22
510,Amit,54,6
511,Suresh,34,28
512,Rahul,20,11
513,Pooja,57,54
514,Pooja,44,96
515,Pooja,26,22
516,Pooja,42,20
517,Suresh,49,59
518,Rahul,41,86
519,Rahul,39,91
520,Rahul,45,13
521,Amit,36,80
522,Rahul,25,63
523,Rahul,41,76
524,Pooja,19,100
525,Neha,39,6
526,Pooja,36,29
527,Pooja,30,58
528,Neha,27,19
529,Pooja,22,12
530,Pooja,30,43
531,Pooja,45,21
532,Suresh,37,66
533,Pooja,50,76
534,Neha,55,98
535,Rahul,53,19
536,Rahul,24,55
537,Pooja,41,45
538,Suresh,32,83
539,Suresh,22,23
540,Neha,21,4
541,Suresh,33,11
542,Pooja,44,93
543,Neha,56,12
544,Neha,53,76
545,Rahul,44,22
546,Pooja,35,61
547,Pooja,21,9
548,Rahul,27,66
549,Suresh,32,32
550,Neha,18,56
551,Rahul,52,7
552,Neha,36,99
553,Rahul,18,26
554,Rahul,54,59
555,Amit,39,25
556,Amit,18,54
557,Suresh,41,58
558,Suresh,33,17
559,Neha,40,36
560,Amit,53,73
561,Rahul,29,53
562,Rahul,20,83
563,Suresh,52,61
564,Amit,45,64
565,Pooja,22,35
566,Rahul,18,43
567,Rahul,45,84
568,Amit,29,83
569,Suresh,31,55
570,Neha,26,20
571,Neha,20,2
572,Pooja,39,83
573,Pooja,27,46
574,Pooja,40,46
575,Suresh,31,11
576,Amit,33,7
577,Neha,31,71
578,Rahul,50,65
579,Pooja,34,74
580,Suresh,24,29
581,Amit,34,55
582,Neha,18,3
583,Neha,54,27
584,Suresh,51,50
585,Rahul,40,84
586,Neha,54,2
587,Amit,39,88
588,Amit,26,4
589,Neha,38,93
590,Amit,23,69
591,Suresh,37,71
592,Suresh,22,76
593,Suresh,34,22
594,Suresh,43,56
595,Pooja,49,46
596,Suresh,41,74
597,Suresh,30,17
598,Suresh,37,88
599,Neha,31,94
600,Suresh,19,0
601,Neha,27,78
602,Neha,41,100
603,Amit,44,56
604,Pooja,40,32
605,Rahul,27,14
606,Pooja,20,66
607,Amit,42,22
608,Suresh,47,76
609,Neha,31,1
610,Neha,43,56
611,Suresh,56,63
612,Amit,27,75
613,Rahul,21,98
614,Suresh,56,63
615,Pooja,47,28
616,Neha,34,41
617,Amit,28,100
618,Suresh,52,10
619,Rahul,35,85
620,Pooja,31,38
621,Amit,55,59
622,Rahul,35,69
623,Rahul,57,31
624,Amit,39,19
625,Amit,31,77
626,Rahul,50,28
627,Neha,54,88
628,Pooja,32,91
629,Suresh,52,45
630,Pooja,55,20
631,Neha,31,65
632,Rahul,41,2
633,Neha,31,13
634,Rahul,54,24
635,Pooja,21,95
636,Suresh,21,79
637,Neha,43,28
638,Pooja,51,55
639,Neha,57,85
640,Neha,24,73
641,Rahul,28,83
642,Amit,26,11
643,Rahul,47,91
644,Neha,56,41
645,Neha,45,74
646,Amit,51,7
647,Pooja,41,89
648,Pooja,49,80
649,Amit,44,43
650,Suresh,24,59
651,Rahul,18,99
652,Rahul,54,42
653,Neha,53,11
654,Pooja,22,85
655,Amit,26,82
656,Suresh,25,72
657,Rahul,22,99
658,Pooja,31,95
659,Rahul,30,38
660,Pooja,40,48
661,Neha,49,31
662,Rahul,48,39
663,Rahul,30,96
664,Suresh,18,18
665,Neha,22,70
666,Suresh,24,90
667,Amit,19,95
668,Suresh,29,100
669,Pooja,55,75
670,Amit,29,30
671,Suresh,38,90
672,Pooja,49,19
673,Amit,48,28
674,Suresh,22,32
675,Suresh,41,69
676,Suresh,49,57
677,Suresh,55,88
678,Pooja,39,38
679,Suresh,44,97
680,Neha,42,87
681,Amit,21,23
682,Suresh,31,75
683,Suresh,24,17
684,Rahul,50,15
685,Rahul,46,70
686,Rahul,24,3
687,Rahul,57,62
688,Rahul,19,97
689,Neha,32,100
690,Rahul,52,45
691,Rahul,42,55
692,Pooja,54,73
693,Suresh,56,9
694,Suresh,33,63
695,Amit,31,86
696,Rahul,20,21
697,Amit,41,35
698,Pooja,41,100
699,Pooja,30,78
700,Rahul,54,57
701,Neha,52,38
702,Rahul,48,22
703,Pooja,24,91
704,Rahul,44,4
705,Rahul,20,32
706,Neha,32,76
707,Rahul,40,89
708,Amit,23,74
709,Neha,25,14
710,Rahul,40,10
711,Pooja,46,53
712,Pooja,49,74
713,Neha,23,39
714,Suresh,56,89
715,Neha,40,0
716,Rahul,56,69
717,Neha,19,51
718,Neha,19,36
719,Pooja,33,68
720,Rahul,33,61
721,Suresh,56,29
722,Rahul,57,30
723,Amit,30,56
724,Amit,28,56
725,Amit,47,88
726,Pooja,56,37
727,Amit,22,24
728,Suresh,56,10
729,Suresh,57,75
730,Rahul,54,37
731,Rahul,36,19
732,Suresh,22,94
733,Neha,49,15
734,Amit,19,42
735,Amit,39,90
736,Pooja,30,54
737,Rahul,24,78
738,Amit,26,43
739,Amit,38,53
740,Rahul,26,41
741,Suresh,28,20
742,Pooja,49,59
743,Neha,26,1
744,Suresh,34,61
745,Rahul,56,88
746,Amit,49,70
747,Pooja,53,67
748,Amit,25,74
749,Suresh,28,64
750,Neha,20,56
751,Amit,49,41
752,Suresh,31,1
753,Neha,57,82
754,Amit,18,59
755,Amit,41,20
756,Suresh,28,69
757,Suresh,48,54
758,Suresh,42,39
759,Pooja,44,2
760,Pooja,48,84
761,Suresh,37,10
762,Amit,34,17
763,Rahul,25,63
764,Pooja,34,24
765,Suresh,25,49
766,Amit,30,47
767,Suresh,43,93
768,Pooja,33,5
769,Amit,47,46
770,Neha,52,4
771,Neha,27,63
772,Neha,27,71
773,Suresh,57,33
774,Suresh,49,96
775,Rahul,49,53
776,Amit,48,97
777,Neha,18,81
778,Suresh,34,23
779,Neha,53,97
780,Rahul,50,35
781,Suresh,19,6
782,Pooja,22,3
783,Neha,26,91
784,Amit,34,45
785,Suresh,31,89
786,Pooja,41,49
787,Rahul,39,14
788,Suresh,21,4
789,Pooja,42,44
790,Amit,19,45
791,Rahul,43,31
792,Suresh,57,1
793,Amit,53,0
794,Suresh,43,20
795,Pooja,36,62
796,Neha,33,47
797,Neha,50,61
798,Rahul,41,72
799,Rahul,23,59
800,Rahul,48,27
801,Neha,25,58
802,Neha,28,54
803,Suresh,41,63
804,Suresh,54,91
805,Amit,32,53
806,Rahul,51,76
807,Rahul,40,74
808,Neha,47,3
809,Pooja,52,73
810,Neha,23,2
811,Amit,37,65
812,Neha,21,29
813,Amit,19,94
814,Rahul,54,79
815,Pooja,18,2
816,Pooja,31,69
817,Rahul,29,94
818,Rahul,47,54
819,Suresh,49,30
820,Pooja,38,31
821,Rahul,45,24
822,Pooja,24,53
823,Pooja,31,34
824,Amit,18,13
825,Suresh,56,23
826,Neha,36,56
827,Pooja,31,92
828,Pooja,41,34
829,Suresh,29,17
830,Amit,53,59
831,Neha,47,55
832,Suresh,31,67
833,Suresh,34,32
834,Neha,35,85
835,Rahul,25,37
836,Suresh,47,72
837,Pooja,56,97
838,Neha,39,44
839,Neha,31,22
840,Amit,26,73
841,Suresh,18,67
842,Pooja,37,33
843,Amit,43,99
844,Pooja,18,93
845,Pooja,28,1
846,Neha,22,91
847,Amit,56,83
848,Neha,41,35
849,Neha,45,32
850,Rahul,42,83
851,Amit,18,19
852,Amit,51,51
853,Neha,28,60
854,Pooja,41,62
855,Pooja,24,26
856,Suresh,46,96
857,Suresh,27,7
858,Pooja,52,39
859,Neha,47,88
860,Amit,36,26
861,Pooja,43,22
862,Rahul,35,74
863,Rahul,35,40
864,Rahul,20,92
865,Pooja,48,59
866,Rahul,57,15
867,Neha,32,65
868,Amit,34,89
869,Amit,30,55
870,Amit,41,29
871,Amit,29,96
872,Amit,18,45
873,Rahul,51,91
874,Rahul,32,14
875,Amit,51,9
876,Suresh,51,31
877,Pooja,34,82
878,Rahul,56,12
879,Suresh,51,39
880,Pooja,47,76
881,Neha,30,53
882,Suresh,31,75
883,Neha,51,24
884,Neha,19,40
885,Neha,35,75
886,Amit,33,7
887,Neha,27,93
888,Pooja,57,97
889,Rahul,39,67
890,Rahul,36,2
891,Suresh,51,44
892,Neha,42,98
893,Amit,39,66
894,Suresh,27,75
895,Suresh,56,76
896,Neha,50,22
897,Pooja,40,47
898,Amit,20,41
899,Suresh,44,44
900,Pooja,57,59
901,Pooja,48,75
902,Amit,24,2
903,Pooja,40,4
904,Rahul,41,22
905,Suresh,51,24
906,Neha,45,58
907,Amit,25,93
908,Amit,34,41
909,Pooja,55,40
910,Neha,53,43
911,Suresh,34,58
912,Suresh,34,55
913,Amit,37,20
914,Neha,33,76
915,Amit,49,25
916,Suresh,53,2
917,Amit,25,35
918,Amit,25,58
919,Pooja,34,92
920,Amit,34,38
921,Suresh,53,47
922,Amit,57,39
923,Pooja,20,44
924,Pooja,43,51
925,Suresh,22,64
926,Pooja,32,43
927,Rahul,30,53
928,Pooja,41,99
929,Amit,49,45
930,Neha,44,9
931,Amit,56,30
932,Suresh,24,80
933,Suresh,32,53
934,Neha,57,94
935,Neha,33,94
936,Pooja,43,64
937,Amit,26,25
938,Pooja,43,35
939,Rahul,55,30
940,Amit,28,14
941,Rahul,45,56
942,Amit,24,87
943,Amit,42,50
944,Suresh,25,78
945,Neha,41,51
946,Suresh,36,24
947,Neha,33,69
948,Pooja,53,28
949,Suresh,51,33
950,Suresh,55,59
951,Rahul,52,17
952,Amit,41,23
953,Neha,50,88
954,Amit,40,68
955,Pooja,21,90
956,Neha,31,92
957,Amit,57,32
958,Pooja,54,15
959,Amit,39,92
960,Suresh,48,67
961,Neha,22,40
962,Amit,50,18
963,Rahul,54,69
964,Suresh,27,99
965,Rahul,42,3
966,Rahul,53,21
967,Suresh,39,61
968,Pooja,38,37
969,Pooja,52,22
970,Neha,21,99
971,Pooja,20,51
972,Rahul,42,37
973,Pooja,45,59
974,Neha,32,62
975,Amit,23,16
976,Rahul,56,19
977,Rahul,42,81
978,Pooja,45,37
979,Neha,54,26
980,Rahul,50,0
981,Amit,37,81
982,Pooja,44,80
983,Neha,46,64
984,Pooja,25,9
985,Neha,30,74
986,Pooja,39,86
987,Neha,24,58
988,Neha,44,71
989,Pooja,27,10
990,Pooja,36,61
991,Amit,18,61
992,Amit,18,20
993,Pooja,23,44
994,Rahul,23,58
995,Amit,48,12
996,Pooja,32,95
997,Pooja,53,24
998,Suresh,46,32
999,Rahul,33,29
1000,Suresh,33,38
1001,Neha,44,52
1002,Suresh,19,83
1003,Neha,30,21
1004,Rahul,36,57
1005,Pooja,28,22
1006,Suresh,29,80
1007,Neha,27,78
1008,Suresh,29,19
1009,Pooja,38,26
1010,Neha,49,83
1011,Suresh,40,58
1012,Rahul,30,41
1013,Amit,47,81
1014,Amit,44,77
1015,Suresh,42,9
1016,Suresh,28,70
1017,Neha,26,65
1018,Suresh,41,46
1019,Pooja,53,86
1020,Rahul,31,63
1021,Amit,25,5
1022,Neha,41,94
1023,Suresh,22,45
1024,Amit,57,95
1025,Amit,42,4
1026,Rahul,29,72
1027,Pooja,41,42
1028,Amit,31,10
1029,Suresh,38,13
1030,Rahul,23,11
1031,Suresh,45,83
1032,Pooja,34,38
1033,Rahul,42,4
1034,Pooja,40,43
1035,Suresh,57,49
1036,Rahul,41,10
1037,Rahul,48,68
1038,Pooja,30,90
1039,Rahul,23,31
1040,Suresh,39,70
1041,Neha,47,53
1042,Rahul,34,91
1043,Suresh,36,6
1044,Suresh,27,12
1045,Suresh,29,74
1046,Amit,47,57
1047,Neha,42,76
1048,Neha,28,32
1049,Amit,20,78
1050,Pooja,19,91
1051,Pooja,18,51
1052,Suresh,47,93
1053,Rahul,41,2
1054,Neha,51,44
1055,Rahul,34,94
1056,Neha,41,32
1057,Pooja,36,56
1058,Amit,55,15
1059,Rahul,50,96
1060,Suresh,48,1
1061,Pooja,53,58
1062,Amit,36,92
1063,Pooja,45,77
1064,Suresh,47,1
1065,Amit,43,59
1066,Pooja,37,28
1067,Suresh,54,32
1068,Rahul,30,22
1069,Rahul,56,54
1070,Suresh,32,23
1071,Neha,39,0
1072,Rahul,21,57
1073,Rahul,30,32
1074,Rahul,47,78
1075,Neha,24,38
1076,Rahul,42,10
1077,Pooja,37,15
1078,Pooja,20,39
1079,Rahul,29,14
1080,Rahul,39,87
1081,Rahul,49,5
1082,Suresh,34,75
1083,Amit,47,10
1084,Suresh,54,47
1085,Pooja,23,96
1086,Rahul,22,94
1087,Neha,20,90
1088,Suresh,37,11
1089,Neha,40,74
1090,Pooja,37,11
1091,Neha,28,45
1092,Rahul,46,62
1093,Pooja,40,90
1094,Amit,26,85
1095,Neha,30,56
1096,Neha,28,26
1097,Amit,57,66
1098,Suresh,37,2
1099,Rahul,21,42
1100,Suresh,53,39
1101,Amit,32,72
1102,Pooja,23,13
1103,Pooja,53,14
1104,Pooja,39,52
1105,Rahul,19,65
1106,Pooja,47,8
1107,Rahul,27,64
1108,Rahul,56,18
1109,Amit,21,75
1110,Rahul,30,96
1111,Amit,33,55
1112,Amit,37,97
1113,Suresh,33,77
1114,Rahul,45,75
1115,Neha,37,13
1116,Rahul,49,87
1117,Neha,28,63
1118,Rahul,49,41
1119,Neha,28,96
1120,Amit,44,44
1121,Pooja,43,52
1122,Pooja,51,32
1123,Suresh,35,80
1124,Amit,25,39
1125,Amit,53,41
1126,Neha,55,53
1127,Pooja,34,85
1128,Suresh,36,8
1129,Pooja,42,95
1130,Neha,31,10
1131,Pooja,49,88
1132,Rahul,43,88
1133,Neha,46,92
1134,Neha,46,19
1135,Rahul,35,91
1136,Amit,51,50
1137,Neha,23,43
1138,Rahul,45,63
1139,Neha,36,69
1140,Rahul,54,62
1141,Pooja,56,72
1142,Suresh,57,29
1143,Neha,47,55
1144,Amit,26,30
1145,Amit,51,58
1146,Suresh,46,8
1147,Rahul,38,22
1148,Pooja,30,60
1149,Neha,56,4
1150,Neha,32,32
1151,Suresh,39,27
1152,Neha,57,75
1153,Suresh,27,61
1154,Neha,42,46
1155,Neha,32,88
1156,Rahul,45,56
1157,Rahul,39,57
1158,Pooja,20,69
1159,Rahul,24,59
1160,Pooja,51,15
1161,Pooja,45,30
1162,Suresh,27,84
1163,Pooja,28,85
1164,Pooja,21,7
1165,Amit,27,41
1166,Neha,30,86
1167,Rahul,22,86
1168,Suresh,44,84
1169,Neha,42,96
1170,Amit,20,17
1171,Neha,48,13
1172,Neha,41,80
1173,Amit,52,23
1174,Rahul,19,12
1175,Neha,25,58
1176,Amit,46,60
1177,Pooja,20,44
1178,Pooja,34,57
1179,Suresh,33,44
1180,Rahul,30,7
1181,Amit,37,69
1182,Suresh,38,68
1183,Amit,47,77
1184,Amit,29,94
1185,Suresh,53,61
1186,Amit,19,89
1187,Suresh,43,2
1188,Pooja,25,32
1189,Pooja,41,69
1190,Pooja,43,56
1191,Pooja,32,3
1192,Pooja,44,5
1193,Neha,54,18
1194,Rahul,37,18
1195,Neha,52,76
1196,Neha,39,50
1197,Amit,48,12
1198,Suresh,28,82
1199,Pooja,45,16
1200,Suresh,23,73
1201,Amit,27,50
1202,Rahul,23,38
1203,Suresh,37,66
1204,Neha,30,81
1205,Neha,52,52
1206,Suresh,18,57
1207,Rahul,34,81
1208,Amit,21,80
1209,Neha,34,85
1210,Suresh,53,17
1211,Suresh,18,81
1212,Amit,46,45
1213,Neha,45,3
1214,Pooja,30,69
1215,Pooja,36,87
1216,Rahul,46,95
1217,Neha,47,62
1218,Rahul,57,77
1219,Suresh,35,21
1220,Suresh,22,46
1221,Rahul,22,21
1222,Amit,51,76
1223,Pooja,45,68
1224,Rahul,44,95
1225,Rahul,46,83
1226,Suresh,46,67
1227,Rahul,28,54
1228,Suresh,40,81
1229,Neha,44,88
1230,Pooja,28,14
1231,Suresh,52,13
1232,Rahul,36,42
1233,Neha,54,80
1234,Pooja,21,69
1235,Pooja,53,59
1236,Suresh,55,42
1237,Suresh,24,9
1238,Pooja,51,61
1239,Suresh,21,80
1240,Suresh,30,22
1241,Neha,47,100
1242,Neha,50,29
1243,Pooja,18,12
1244,Amit,53,23
1245,Neha,49,31
1246,Rahul,51,62
1247,Pooja,40,3
1248,Suresh,53,97
1249,Neha,39,81
1250,Neha,41,69
1251,Suresh,25,10
1252,Rahul,49,73
1253,Pooja,28,52
1254,Pooja,41,98
1255,Neha,21,81
1256,Amit,33,38
1257,Rahul,44,6
1258,Neha,20,8
1259,Suresh,55,56
1260,Rahul,24,21
1261,Pooja,57,18
1262,Rahul,49,83
1263,Amit,31,43
1264,Pooja,40,34
1265,Amit,55,15
1266,Suresh,38,45
1267,Neha,57,0
1268,Pooja,30,35
1269,Suresh,21,21
1270,Neha,22,61
1271,Rahul,38,60
1272,Rahul,52,64
1273,Neha,47,1
1274,Amit,26,51
1275,Suresh,49,95
1276,Suresh,25,51
1277,Suresh,25,81
1278,Suresh,57,53
1279,Suresh,52,60
1280,Neha,43,11
1281,Amit,56,64
1282,Neha,21,63
1283,Neha,18,30
1284,Rahul,32,91
1285,Pooja,24,79
1286,Neha,23,86
1287,Rahul,34,32
1288,Amit,31,90
1289,Neha,36,59
1290,Neha,52,27
1291,Pooja,52,76
1292,Amit,31,49
